Metric,Baseline (No Balancing),Best Balancing Only,Balancing + Tuning,Final Optimized (All Techniques)
Accuracy,0.9736842105263158,0.9912280701754386,0.9649122807017544,0.9736842105263158
Precision,1.0,1.0,0.9523809523809523,0.975609756097561
Recall,0.9285714285714286,0.9761904761904762,0.9523809523809523,0.9523809523809523
F1-Score,0.9629629629629629,0.9879518072289156,0.9523809523809523,0.963855421686747
False Negatives,3.0,1.0,2.0,2.0
False Positives,0.0,0.0,2.0,1.0
True Positives,40.0,41.0,40.0,40.0
True Negatives,70.0,72.0,70.0,71.0
