,Accuracy,Precision,Recall,F1-Score,ROC-AUC,False Negatives,False Positives
Logistic Regression,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9887566137566137,2,1
Decision Tree,0.9035087719298246,0.918918918918919,0.8095238095238095,0.8607594936708861,0.8839285714285715,8,3
Random Forest,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9990079365079365,1,0
Gradient Boosting,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9996693121693122,4,0
SVM,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.994047619047619,1,1
K-Nearest Neighbors,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9636243386243386,1,4
Naive Bayes,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9940476190476191,2,4
